Start,Slut,NO2 (2085),NOX as NO2 (2086),PM10 (2084)
20-01-2016 11:00,20-01-2016 12:00,112.2,393.4,
20-01-2016 12:00,20-01-2016 13:00,97.7,295.4,
20-01-2016 13:00,20-01-2016 14:00,110.8,369.6,
20-01-2016 14:00,20-01-2016 15:00,103.8,326.9,
20-01-2016 15:00,20-01-2016 16:00,112.4,335.9,9.1
20-01-2016 16:00,20-01-2016 17:00,107.2,297.4,10.3
20-01-2016 17:00,20-01-2016 18:00,102,278,11.3
20-01-2016 18:00,20-01-2016 19:00,93.9,233.6,15.4
20-01-2016 19:00,20-01-2016 20:00,90.1,193.7,15.7
20-01-2016 20:00,20-01-2016 21:00,70.2,119,10.9
20-01-2016 21:00,20-01-2016 22:00,59.4,105.5,8.5
20-01-2016 22:00,20-01-2016 23:00,60.9,112,11.1
20-01-2016 23:00,21-01-2016 00:00,51.4,99.3,8
21-01-2016 00:00,21-01-2016 01:00,43.8,82.6,11.6
21-01-2016 01:00,21-01-2016 02:00,47.8,93.5,9.6
21-01-2016 02:00,21-01-2016 03:00,41.1,73.5,7.8
21-01-2016 03:00,21-01-2016 04:00,36.7,58.6,9.2
21-01-2016 04:00,21-01-2016 05:00,33.8,44.2,7.2
21-01-2016 05:00,21-01-2016 06:00,46.1,83.7,8.6
21-01-2016 06:00,21-01-2016 07:00,78.6,199.3,11.7
21-01-2016 07:00,21-01-2016 08:00,152.2,473.4,15
21-01-2016 08:00,21-01-2016 09:00,221.7,840.6,22.7
21-01-2016 09:00,21-01-2016 10:00,111.4,387.5,21.1
21-01-2016 10:00,21-01-2016 11:00,93.4,276.6,15.8
21-01-2016 11:00,21-01-2016 12:00,115.5,388.9,19.8
21-01-2016 12:00,21-01-2016 13:00,91.7,275.4,16.7
21-01-2016 13:00,21-01-2016 14:00,70.9,200.7,15.3
21-01-2016 14:00,21-01-2016 15:00,74.8,202.6,16.8
21-01-2016 15:00,21-01-2016 16:00,84.3,241.1,19.4
21-01-2016 16:00,21-01-2016 17:00,81.4,202.4,17.5
21-01-2016 17:00,21-01-2016 18:00,66.1,150.3,18.3
21-01-2016 18:00,21-01-2016 19:00,64.3,157.3,15.1
21-01-2016 19:00,21-01-2016 20:00,53.7,113.2,15.4
21-01-2016 20:00,21-01-2016 21:00,46.7,97.2,9.8
21-01-2016 21:00,21-01-2016 22:00,42.8,82.9,11.3
21-01-2016 22:00,21-01-2016 23:00,42,79.7,11.7
21-01-2016 23:00,22-01-2016 00:00,34.9,58,12.8
22-01-2016 00:00,22-01-2016 01:00,30.4,55.8,11.8
22-01-2016 01:00,22-01-2016 02:00,30.2,64.9,11.1
22-01-2016 02:00,22-01-2016 03:00,23.4,39,9.7
22-01-2016 03:00,22-01-2016 04:00,19.9,29.4,9.7
22-01-2016 04:00,22-01-2016 05:00,21.4,32.1,9.7
22-01-2016 05:00,22-01-2016 06:00,33.2,58.4,10.5
22-01-2016 06:00,22-01-2016 07:00,58.2,128,12.3
22-01-2016 07:00,22-01-2016 08:00,87.5,234,18.6
22-01-2016 08:00,22-01-2016 09:00,140.2,414.4,22.6
22-01-2016 09:00,22-01-2016 10:00,96.3,266.6,23.4
22-01-2016 10:00,22-01-2016 11:00,88.1,304.7,16.4
22-01-2016 11:00,22-01-2016 12:00,78.6,212.8,13.5
22-01-2016 12:00,22-01-2016 13:00,85.1,229,14.7
22-01-2016 13:00,22-01-2016 14:00,108.9,344.1,18.9
22-01-2016 14:00,22-01-2016 15:00,94,277.9,15.9
22-01-2016 15:00,22-01-2016 16:00,95,228.7,13.5
22-01-2016 16:00,22-01-2016 17:00,71.6,148.3,10.6
22-01-2016 17:00,22-01-2016 18:00,59.6,101.2,9.7
22-01-2016 18:00,22-01-2016 19:00,60.1,92.8,12.8
22-01-2016 19:00,22-01-2016 20:00,48.5,84.4,12.8
22-01-2016 20:00,22-01-2016 21:00,42.5,72.5,13.8
22-01-2016 21:00,22-01-2016 22:00,36.9,52.2,15.8
22-01-2016 22:00,22-01-2016 23:00,36.5,54.9,16.1
22-01-2016 23:00,23-01-2016 00:00,39,62.4,16.2
23-01-2016 00:00,23-01-2016 01:00,25.9,37.5,11.4
23-01-2016 01:00,23-01-2016 02:00,22.9,31,13.5
23-01-2016 02:00,23-01-2016 03:00,28.4,38.2,13
23-01-2016 03:00,23-01-2016 04:00,19.3,22.2,9.3
23-01-2016 04:00,23-01-2016 05:00,22.2,26.6,8.2
23-01-2016 05:00,23-01-2016 06:00,13.8,15,7.7
23-01-2016 06:00,23-01-2016 07:00,19.3,22.9,8
23-01-2016 07:00,23-01-2016 08:00,21.9,26.8,7.4
23-01-2016 08:00,23-01-2016 09:00,21.9,31.6,6.6
23-01-2016 09:00,23-01-2016 10:00,20.6,26.5,7.3
23-01-2016 10:00,23-01-2016 11:00,29.8,43.4,10.4
23-01-2016 11:00,23-01-2016 12:00,32.5,49.6,12.1
23-01-2016 12:00,23-01-2016 13:00,36.7,60.4,12.3
23-01-2016 13:00,23-01-2016 14:00,36.4,53.9,12.6
23-01-2016 14:00,23-01-2016 15:00,40.7,61.5,12.7
23-01-2016 15:00,23-01-2016 16:00,51.3,88.4,14.4
23-01-2016 16:00,23-01-2016 17:00,42.8,68.8,12.6
23-01-2016 17:00,23-01-2016 18:00,31.8,45.9,13.8
23-01-2016 18:00,23-01-2016 19:00,29.5,45.2,15.8
23-01-2016 19:00,23-01-2016 20:00,27.2,39.6,15.9
23-01-2016 20:00,23-01-2016 21:00,25.2,34.1,10.5
23-01-2016 21:00,23-01-2016 22:00,20,29.1,8.9
23-01-2016 22:00,23-01-2016 23:00,23.6,32.3,11.5
23-01-2016 23:00,24-01-2016 00:00,29.9,42.7,17.6
24-01-2016 00:00,24-01-2016 01:00,25,37,21.8
24-01-2016 01:00,24-01-2016 02:00,30.5,52.9,21.9
24-01-2016 02:00,24-01-2016 03:00,31.9,71,19.8
24-01-2016 03:00,24-01-2016 04:00,23.3,46.6,16.4
24-01-2016 04:00,24-01-2016 05:00,15.7,29.5,13.1
24-01-2016 05:00,24-01-2016 06:00,12.7,19.9,11.7
24-01-2016 06:00,24-01-2016 07:00,13.2,21.7,10.3
24-01-2016 07:00,24-01-2016 08:00,15.6,25.8,9.1
24-01-2016 08:00,24-01-2016 09:00,13.6,24.2,7.6
24-01-2016 09:00,24-01-2016 10:00,22.4,48.2,7.4
24-01-2016 10:00,24-01-2016 11:00,27.1,62.8,9.6
24-01-2016 11:00,24-01-2016 12:00,28.8,63.3,9.1
24-01-2016 12:00,24-01-2016 13:00,37.9,95.5,9.6
24-01-2016 13:00,24-01-2016 14:00,45,114.2,8.8
24-01-2016 14:00,24-01-2016 15:00,41.5,97,8.4
24-01-2016 15:00,24-01-2016 16:00,39.3,87.2,9.9
24-01-2016 16:00,24-01-2016 17:00,40.4,92.8,9.7
24-01-2016 17:00,24-01-2016 18:00,34.5,76.9,8.5
24-01-2016 18:00,24-01-2016 19:00,33.6,72.5,8.4
24-01-2016 19:00,24-01-2016 20:00,31.2,84.4,6.1
24-01-2016 20:00,24-01-2016 21:00,17.2,32.8,6.1
24-01-2016 21:00,24-01-2016 22:00,20.5,39.7,5.1
24-01-2016 22:00,24-01-2016 23:00,17.9,38.4,4.2
24-01-2016 23:00,25-01-2016 00:00,15,25.6,3.2
25-01-2016 00:00,25-01-2016 01:00,14.4,23.6,3.6
25-01-2016 01:00,25-01-2016 02:00,16.2,29.6,4.7
25-01-2016 02:00,25-01-2016 03:00,11.1,16.5,4.6
25-01-2016 03:00,25-01-2016 04:00,10.8,19.2,4.3
25-01-2016 04:00,25-01-2016 05:00,10,14.9,3.2
25-01-2016 05:00,25-01-2016 06:00,17.5,34.5,3.5
25-01-2016 06:00,25-01-2016 07:00,47,125.5,6.7
25-01-2016 07:00,25-01-2016 08:00,84.1,225.1,8.2
25-01-2016 08:00,25-01-2016 09:00,106.2,279.6,9.9
25-01-2016 09:00,25-01-2016 10:00,68.2,190.5,10.1
25-01-2016 10:00,25-01-2016 11:00,65.5,190.9,10.8
25-01-2016 11:00,25-01-2016 12:00,76.2,229.1,9.6
25-01-2016 12:00,25-01-2016 13:00,70.6,181.2,10.5
25-01-2016 13:00,25-01-2016 14:00,59.2,138.6,7.4
25-01-2016 14:00,25-01-2016 15:00,56.5,123.8,7.7
25-01-2016 15:00,25-01-2016 16:00,53.5,112.9,7.8
25-01-2016 16:00,25-01-2016 17:00,52.2,106.9,8.6
25-01-2016 17:00,25-01-2016 18:00,40.6,72.5,7.9
25-01-2016 18:00,25-01-2016 19:00,36.5,63,9.8
25-01-2016 19:00,25-01-2016 20:00,31.5,53.2,7.9
