,,,NOX as NO2 (535)
Start,Slut,NO2 (534),NOX as NO2 (535)
2016-01-01 00:00,2016-01-01 01:00,15.2,29.3
2016-01-01 01:00,2016-01-01 02:00,25.6,46.4
2016-01-01 02:00,2016-01-01 03:00,13.7,23.6
2016-01-01 03:00,2016-01-01 04:00,17.6,33.7
2016-01-01 04:00,2016-01-01 05:00,17.0,31.2
2016-01-01 05:00,2016-01-01 06:00,12.9,22.0
2016-01-01 06:00,2016-01-01 07:00,7.50,11.5
2016-01-01 07:00,2016-01-01 08:00,5.90,7.50
2016-01-01 08:00,2016-01-01 09:00,6.30,7.90
2016-01-01 09:00,2016-01-01 10:00,6.00,9.90
2016-01-01 10:00,2016-01-01 11:00,4.40,7.30
2016-01-01 11:00,2016-01-01 12:00,9.30,17.8
2016-01-01 12:00,2016-01-01 13:00,13.9,32.5
2016-01-01 13:00,2016-01-01 14:00,16.3,32.2
2016-01-01 14:00,2016-01-01 15:00,15.7,32.9
2016-01-01 15:00,2016-01-01 16:00,16.2,29.5
2016-01-01 16:00,2016-01-01 17:00,14.2,27.4
2016-01-01 17:00,2016-01-01 18:00,12.0,18.3
2016-01-01 18:00,2016-01-01 19:00,12.5,20.4
2016-01-01 19:00,2016-01-01 20:00,11.7,20.1
2016-01-01 20:00,2016-01-01 21:00,6.40,8.90
2016-01-01 21:00,2016-01-01 22:00,10.6,30.2
2016-01-01 22:00,2016-01-01 23:00,4.70,8.00
2016-01-01 23:00,2016-01-02 00:00,10.3,23.1
2016-01-02 00:00,2016-01-02 01:00,11.0,18.5
2016-01-02 01:00,2016-01-02 02:00,4.20,6.20
2016-01-02 02:00,2016-01-02 03:00,3.60,5.60
2016-01-02 03:00,2016-01-02 04:00,4.80,8.50
2016-01-02 04:00,2016-01-02 05:00,2.30,3.60
2016-01-02 05:00,2016-01-02 06:00,2.40,3.60
2016-01-02 06:00,2016-01-02 07:00,4.50,8.00
2016-01-02 07:00,2016-01-02 08:00,2.80,4.90
2016-01-02 08:00,2016-01-02 09:00,4.80,10.8
2016-01-02 09:00,2016-01-02 10:00,6.70,17.6
2016-01-02 10:00,2016-01-02 11:00,17.7,43.1
2016-01-02 11:00,2016-01-02 12:00,32.0,81.0
2016-01-02 12:00,2016-01-02 13:00,31.2,67.1
2016-01-02 13:00,2016-01-02 14:00,40.3,88.0
