Start,Slut,NO2 (545),NOX as NO2 (546),ID
01-01-2016 00:00,01-01-2016 01:00,27.1,34.6,18641
01-01-2016 01:00,01-01-2016 02:00,37.4,68.1,18641
01-01-2016 02:00,01-01-2016 03:00,44.3,74.2,18641
01-01-2016 03:00,01-01-2016 04:00,25.9,35,18641
01-01-2016 04:00,01-01-2016 05:00,25.9,33.7,18641
01-01-2016 05:00,01-01-2016 06:00,20.5,28.3,18641
01-01-2016 06:00,01-01-2016 07:00,25.4,70,18641
01-01-2016 07:00,01-01-2016 08:00,19.2,24.7,18641
01-01-2016 08:00,01-01-2016 09:00,13.6,16.3,18641
01-01-2016 09:00,01-01-2016 10:00,15.7,21,18641
01-01-2016 10:00,01-01-2016 11:00,17,26.6,18641
01-01-2016 11:00,01-01-2016 12:00,23.8,42.8,18641
01-01-2016 12:00,01-01-2016 13:00,21.9,40.2,18641
01-01-2016 13:00,01-01-2016 14:00,33.1,57.5,18641
01-01-2016 14:00,01-01-2016 15:00,28.3,47.4,18641
01-01-2016 15:00,01-01-2016 16:00,41,71.6,18641
01-01-2016 16:00,01-01-2016 17:00,33.3,61.4,18641
01-01-2016 17:00,01-01-2016 18:00,26.7,44.4,18641
01-01-2016 18:00,01-01-2016 19:00,26.3,40.5,18641
01-01-2016 19:00,01-01-2016 20:00,27.8,45,18641
01-01-2016 20:00,01-01-2016 21:00,25.9,47,18641
01-01-2016 21:00,01-01-2016 22:00,21.9,35.1,18641
01-01-2016 22:00,01-01-2016 23:00,19.3,29.8,18641
01-01-2016 23:00,02-01-2016 00:00,23.7,37.2,18641
02-01-2016 00:00,02-01-2016 01:00,16.7,24,18641
02-01-2016 01:00,02-01-2016 02:00,12.1,24.2,18641
02-01-2016 02:00,02-01-2016 03:00,8.1,17.4,18641
02-01-2016 03:00,02-01-2016 04:00,7.7,14.1,18641
02-01-2016 04:00,02-01-2016 05:00,2.4,3.1,18641
02-01-2016 05:00,02-01-2016 06:00,4.7,5.9,18641
02-01-2016 06:00,02-01-2016 07:00,5.9,8,18641
02-01-2016 07:00,02-01-2016 08:00,8.2,12.3,18641
02-01-2016 08:00,02-01-2016 09:00,11.3,16.6,18641
02-01-2016 09:00,02-01-2016 10:00,24.6,53.7,18641
02-01-2016 10:00,02-01-2016 11:00,35,73.7,18641
02-01-2016 11:00,02-01-2016 12:00,47,105.6,18641
02-01-2016 12:00,02-01-2016 13:00,46.3,97.5,18641
02-01-2016 13:00,02-01-2016 14:00,41.1,77.9,18641
02-01-2016 14:00,02-01-2016 15:00,55.5,131.2,18641
02-01-2016 15:00,02-01-2016 16:00,50.7,106.8,18641
02-01-2016 16:00,02-01-2016 17:00,46.4,93.8,18641
02-01-2016 17:00,02-01-2016 18:00,47.2,96.1,18641
02-01-2016 18:00,02-01-2016 19:00,33.1,61,18641
02-01-2016 19:00,02-01-2016 20:00,22.5,39.7,18641
02-01-2016 20:00,02-01-2016 21:00,39.1,82.4,18641
02-01-2016 21:00,02-01-2016 22:00,43.9,71.7,18641
02-01-2016 22:00,02-01-2016 23:00,28.9,52.3,18641
02-01-2016 23:00,03-01-2016 00:00,18.4,35,18641
03-01-2016 00:00,03-01-2016 01:00,24.8,45,18641
03-01-2016 01:00,03-01-2016 02:00,21.4,32.7,18641
03-01-2016 02:00,03-01-2016 03:00,19.3,46.1,18641
03-01-2016 03:00,03-01-2016 04:00,23.7,55.7,18641
03-01-2016 04:00,03-01-2016 05:00,16.1,26,18641
03-01-2016 05:00,03-01-2016 06:00,6.7,8.5,18641
03-01-2016 06:00,03-01-2016 07:00,7,9.3,18641
03-01-2016 07:00,03-01-2016 08:00,9.7,15.4,18641
03-01-2016 08:00,03-01-2016 09:00,12.4,21.4,18641
03-01-2016 09:00,03-01-2016 10:00,20.8,34,18641
03-01-2016 10:00,03-01-2016 11:00,31.3,52.3,18641
03-01-2016 11:00,03-01-2016 12:00,38.4,75.3,18641
03-01-2016 12:00,03-01-2016 13:00,53.6,100.2,18641
03-01-2016 13:00,03-01-2016 14:00,37.9,70.7,18641
03-01-2016 14:00,03-01-2016 15:00,41.8,66.8,18641
03-01-2016 15:00,03-01-2016 16:00,45.1,72.3,18641
03-01-2016 16:00,03-01-2016 17:00,31.5,44.5,18641
03-01-2016 17:00,03-01-2016 18:00,37.2,61.9,18641
03-01-2016 18:00,03-01-2016 19:00,30.9,47.9,18641
03-01-2016 19:00,03-01-2016 20:00,31.5,52.2,18641
03-01-2016 20:00,03-01-2016 21:00,23.4,30.2,18641
03-01-2016 21:00,03-01-2016 22:00,26.4,33.6,18641
03-01-2016 22:00,03-01-2016 23:00,19.1,23,18641
03-01-2016 23:00,04-01-2016 00:00,12.9,17.6,18641
04-01-2016 00:00,04-01-2016 01:00,16.4,21.8,18641
04-01-2016 01:00,04-01-2016 02:00,14.6,19.3,18641
04-01-2016 02:00,04-01-2016 03:00,13,17.3,18641
04-01-2016 03:00,04-01-2016 04:00,24.7,127.3,18641
04-01-2016 04:00,04-01-2016 05:00,8.4,11.7,18641
04-01-2016 05:00,04-01-2016 06:00,19.4,31.6,18641
04-01-2016 06:00,04-01-2016 07:00,53.9,114.4,18641
04-01-2016 07:00,04-01-2016 08:00,51.3,107.7,18641
